numerical__income,numerical__name_email_similarity,numerical__prev_address_months_count,numerical__current_address_months_count,numerical__customer_age,numerical__days_since_request,numerical__intended_balcon_amount,numerical__zip_count_4w,numerical__velocity_6h,numerical__velocity_24h,numerical__velocity_4w,numerical__bank_branch_count_8w,numerical__date_of_birth_distinct_emails_4w,numerical__credit_risk_score,numerical__email_is_free,numerical__phone_home_valid,numerical__phone_mobile_valid,numerical__bank_months_count,numerical__has_other_cards,numerical__proposed_credit_limit,numerical__foreign_request,numerical__session_length_in_minutes,numerical__keep_alive_session,numerical__device_distinct_emails_8w,numerical__month,categorical__payment_type_AA,categorical__payment_type_AB,categorical__payment_type_AC,categorical__payment_type_AD,categorical__payment_type_AE,categorical__employment_status_CA,categorical__employment_status_CB,categorical__employment_status_CC,categorical__employment_status_CD,categorical__employment_status_CE,categorical__employment_status_CF,categorical__employment_status_CG,categorical__housing_status_BA,categorical__housing_status_BB,categorical__housing_status_BC,categorical__housing_status_BD,categorical__housing_status_BE,categorical__housing_status_BF,categorical__housing_status_BG,categorical__source_INTERNET,categorical__source_TELEAPP,categorical__device_os_linux,categorical__device_os_macintosh,categorical__device_os_other,categorical__device_os_windows,categorical__device_os_x11
0.25,0.6353075,0.0,0.20470588,0.5,6.5901577e-06,0.07602209,0.27960372,0.696543,0.53699696,0.63660073,0.008539709,0.16666667,0.47248578,1.0,1.0,1.0,0.1875,1.0,0.005235602,0.0,0.09594987,0.0,0.6666667,0.14285715,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.20606822,0.0,0.6023529,0.375,0.00017065267,0.07585989,0.28872463,0.5719886,0.62890273,0.6629617,0.0,0.19444445,0.6793169,1.0,0.0,1.0,0.0,0.0,0.68586385,0.0,0.5319364,0.0,1.0,0.14285715,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.1129148,0.0,0.73882353,0.5,0.00016271062,0.082052134,0.5282277,0.24733655,0.34051922,0.36290652,0.8287788,0.11111111,0.79696393,0.0,1.0,1.0,0.09375,0.0,0.947644,0.0,0.04303183,1.0,0.6666667,0.85714287,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.75,0.36679274,0.0,0.25411764,0.25,1.2542374e-05,0.08049806,0.3561881,0.15765025,0.46390378,0.5983791,0.00042698547,0.33333334,0.44781783,1.0,1.0,1.0,0.0,0.0,0.005235602,0.0,0.031165142,0.0,0.6666667,0.14285715,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.125,0.9138586,0.0,0.36941177,0.5,0.00017517761,0.07125819,0.20632175,0.03293856,0.11737748,0.10528266,0.0038428693,0.055555556,0.7495256,0.0,0.0,1.0,0.1875,0.0,0.42408377,0.0,0.2566344,0.0,1.0,0.85714287,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.41477862,0.16893733,0.002352941,0.375,6.451387e-05,0.07555821,0.13838653,0.05807883,0.06317683,0.069035485,0.0042698546,0.083333336,0.6812144,0.0,0.0,1.0,0.90625,0.0,0.68586385,0.0,0.042152926,0.0,0.6666667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.75,0.26722765,0.08719346,0.014117647,0.25,8.8297966e-05,0.07763029,0.08130209,0.47466657,0.34768084,0.7090301,0.0,0.6944444,0.4971537,1.0,0.0,1.0,0.0,0.0,0.005235602,0.0,0.03292619,1.0,0.6666667,0.2857143,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.6246625,0.0,0.14352942,0.5,5.4701384e-05,0.46291637,0.32096243,0.56046045,0.56142133,0.9300842,0.017933391,0.19444445,0.7286528,0.0,0.0,1.0,0.1875,1.0,0.16230367,0.0,0.04117822,0.0,0.6666667,0.42857143,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.625,0.51603115,0.0,0.2564706,0.5,0.0002708504,0.0826874,0.07296745,0.21249402,0.12270287,0.36812443,0.0034158838,0.16666667,0.64895636,0.0,0.0,1.0,0.34375,1.0,0.42408377,0.0,0.022058802,1.0,0.6666667,0.5714286,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.117327504,0.0,0.08705882,0.25,0.00038296185,0.07772313,0.8256015,0.29020485,0.5874653,0.9440288,0.036720753,0.44444445,0.3434535,0.0,0.0,1.0,0.96875,0.0,0.005235602,0.0,0.050671425,1.0,0.6666667,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.5054933,0.0,0.46117648,0.0,0.13037406,0.49714702,0.087592386,0.49780884,0.6793308,0.664329,0.29547396,0.25,0.4914611,1.0,0.0,1.0,1.0,0.0,0.005235602,0.0,0.1308285,1.0,0.6666667,0.14285715,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
